sample,t_ms,ch1_uv
836,217540.70,186834.6334
837,217560.49,186831.0571
838,217581.06,186811.6558
839,217600.90,186846.6362
840,217623.09,186919.6370
841,217640.25,186830.8559
842,217660.73,186831.0571
843,217680.58,186866.7975
844,217700.42,186821.9823
845,217720.33,186823.3010
846,217740.81,186783.2467
847,217760.69,186785.4819
848,217780.54,186884.1648
849,217800.38,186912.4398
850,217820.27,186914.8090
851,217840.46,186798.4906
852,217860.50,186812.0357
853,217880.39,186926.7449
854,217900.25,186818.7636
855,217920.62,186864.8306
856,217940.53,186867.0434
857,217960.51,186857.2757
858,217980.38,186880.0744
859,218000.26,186857.1416
860,218020.69,186875.0006
861,218040.52,186827.3243
862,218062.93,186895.1395
863,218080.19,186866.9987
864,218100.70,186853.7217
865,218120.54,186847.8879
866,218140.30,186822.6752
867,218180.36,186858.3709
868,218200.24,186799.0941
869,218220.66,186860.5837
870,218240.44,186720.8406
871,218260.24,186816.3720
872,218280.66,186869.8373
873,218300.52,186841.8083
874,218320.38,186912.8644
875,218340.21,186925.7614
876,218360.01,186944.6039
877,218381.19,186873.9948
878,218400.51,186907.2765
879,218420.38,186776.5188
880,218440.25,186819.9036
881,218460.05,186841.8306
882,218484.49,186892.2561
883,218500.28,186893.2620
884,218520.10,186841.3836
885,218539.91,186871.9161
886,218560.37,186883.6284
887,218580.41,186902.6944
888,218600.34,186818.8307
889,218620.16,186800.7481
890,218639.90,186971.8730
891,218660.39,186807.7889
892,218680.26,186892.4797
893,218700.10,186859.1532
894,218719.93,186942.4358
895,218740.40,186863.6683
896,218760.23,186883.1143
897,218780.05,186885.8635
898,218820.08,186815.2544
899,218839.87,186914.7196
900,218860.30,186921.8275
901,218880.10,186920.5534
902,218919.87,186857.1863
903,218939.75,186928.4213
904,218960.17,186902.2474
905,218979.98,186873.0336
906,218999.78,186889.5516
907,219019.86,186830.3418
908,219039.83,186856.4487
909,219059.71,186878.3310
910,219079.51,186885.7741
911,219099.93,186868.0045
912,219123.41,186866.5293
913,219139.83,186941.6982
914,219159.68,186832.9346
915,219179.95,186957.5903
916,219199.77,186820.7753
917,219240.01,186744.6676
918,219259.87,186746.8581
919,219279.69,186841.3612
920,219299.52,186967.9615
921,219319.95,186919.3017
922,219339.80,186823.2563
923,219359.84,186812.2593
924,219379.65,186916.8207
